zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Toronto Zoo,Cacatua galerita,Sulfur-crested cockatoo,Janessa,Female,2022-11-13,68,true
Edmonton Zoo,Phalaropus lobatus,"Phalarope, red-necked",Carolynn,Female,2021-03-11,45,true
Edmonton Zoo,Cervus duvauceli,Swamp deer,Byrom,Male,2021-08-08,35,false
Edmonton Zoo,Cordylus giganteus,"Lizard, giant girdled",Talbot,Male,2021-01-10,57,false
Vancouver Zoo,Martes americana,American marten,Padgett,Male,2023-04-03,56,false
Toronto Zoo,Genetta genetta,"Genet, common",Beryl,Female,2022-08-18,66,false
Edmonton Zoo,Dasypus novemcinctus,"Armadillo, common long-nosed",Phebe,Female,2021-03-19,37,false
Toronto Zoo,Vulpes cinereoargenteus,Grey fox,Verna,Female,2021-05-24,30,false
Toronto Zoo,Damaliscus dorcas,Blesbok,Killie,Male,2021-07-05,76,true
Washington Zoo,Haliaeetus leucocephalus,Bald eagle,Vyky,Female,2022-02-02,56,false
Vancouver Zoo,Pseudalopex gymnocercus,Pampa gray fox,Dora,Female,2021-08-24,66,false
Toronto Zoo,Casmerodius albus,"Egret, great",Viv,Female,2021-11-25,71,true
Edmonton Zoo,Choloepus hoffmani,"Sloth, two-toed",Noam,Male,2023-02-08,29,true
Washington Zoo,Sciurus vulgaris,"Squirrel, european red",Carole,Female,2022-03-02,75,false
Toronto Zoo,Anser caerulescens,Snow goose,Thane,Male,2023-06-15,22,false
Toronto Zoo,Rangifer tarandus,Reindeer,Samson,Male,2022-10-17,19,false
Vancouver Zoo,Tursiops truncatus,"Dolphin, bottle-nose",Ellissa,Female,2022-04-17,67,false
Vancouver Zoo,Panthera onca,Jaguar,Prent,Male,2023-01-28,60,true
Washington Zoo,Hydrochoerus hydrochaeris,Capybara,Crissie,Female,2022-06-25,18,false
Washington Zoo,Canis lupus lycaon,Timber wolf,Daron,Male,2023-10-08,46,true
Toronto Zoo,Felis concolor,South American puma,Jarrett,Male,2021-06-24,44,false
Toronto Zoo,Macaca fuscata,"Macaque, japanese",Gabi,Male,2024-03-28,72,false
Edmonton Zoo,Lamprotornis chalybaeus,"Starling, greater blue-eared",Ellie,Female,2022-08-18,39,false
Vancouver Zoo,Crotalus triseriatus,"Rattlesnake, dusky",Joshia,Male,2023-04-21,37,true
Washington Zoo,Ciconia episcopus,"Stork, woolly-necked",Theodoric,Male,2024-01-22,76,true
Vancouver Zoo,Genetta genetta,"Genet, common",Traci,Female,2024-03-12,35,false
Toronto Zoo,Diomedea irrorata,"Albatross, galapagos",Maynard,Male,2023-07-20,48,false
Edmonton Zoo,unavailable,African snake (unidentified),Hertha,Female,2022-10-26,25,false
Edmonton Zoo,Estrilda erythronotos,"Waxbill, black-cheeked",Engelbert,Male,2023-06-03,23,false
Toronto Zoo,Psittacula krameri,"Parakeet, rose-ringed",Bren,Female,2021-01-05,80,true
Edmonton Zoo,Falco mexicanus,"Falcon, prairie",Zenia,Female,2021-03-07,60,true
Washington Zoo,Otocyon megalotis,"Fox, bat-eared",Saunderson,Male,2024-04-05,26,false
Washington Zoo,Philetairus socius,Sociable weaver,Shayne,Male,2022-11-21,31,true
Vancouver Zoo,Trichoglossus haematodus moluccanus,Rainbow lory,Berget,Female,2023-09-01,72,true
Washington Zoo,Dasyurus maculatus,Tiger cat,Iain,Male,2022-01-05,60,false
Toronto Zoo,Canis mesomelas,Silver-backed jackal,Rudy,Male,2022-02-13,39,true
Toronto Zoo,Kobus vardonii vardoni,Puku,Torrin,Male,2023-10-06,54,true
Toronto Zoo,Lorythaixoides concolor,Bare-faced go away bird,Zacharia,Male,2023-11-08,69,false
Vancouver Zoo,Dasyurus maculatus,"Cat, tiger",Bert,Male,2022-08-10,55,false
Toronto Zoo,Pitangus sulphuratus,Great kiskadee,Rachele,Female,2023-02-09,64,true
Vancouver Zoo,Microcavia australis,Cuis,Dian,Female,2020-12-25,54,true
Vancouver Zoo,Lorythaixoides concolor,Bare-faced go away bird,Annamarie,Female,2024-03-03,35,true
Toronto Zoo,Ictalurus furcatus,"Catfish, blue",Taddeusz,Male,2021-07-13,39,true
Washington Zoo,Ploceus intermedius,"Weaver, lesser masked",Helen-elizabeth,Female,2021-06-20,46,true
Vancouver Zoo,Gyps bengalensis,White-rumped vulture,Valentijn,Male,2021-09-29,46,false
Washington Zoo,Dendrocitta vagabunda,"Pie, indian tree",Vikky,Female,2021-11-15,43,true
Edmonton Zoo,Pelecanus conspicillatus,Australian pelican,Gaye,Female,2021-01-13,79,true
Vancouver Zoo,Megaderma spasma,"Bat, asian false vampire",Janessa,Female,2021-10-26,34,true
Vancouver Zoo,Sagittarius serpentarius,"Bird, secretary",Walton,Male,2023-07-12,23,true
Edmonton Zoo,Mycteria ibis,"Stork, yellow-billed",Erroll,Male,2023-07-24,37,false
Washington Zoo,Dasyurus viverrinus,"Cat, native",Arlan,Male,2021-08-19,25,true
Toronto Zoo,Macropus eugenii,Tammar wallaby,Drugi,Male,2021-09-28,31,true
Washington Zoo,Libellula quadrimaculata,Russian dragonfly,Aleece,Female,2021-08-09,30,false
Edmonton Zoo,Geochelone elegans,Indian star tortoise,Donny,Male,2024-02-26,21,false
Washington Zoo,Caiman crocodilus,Spectacled caiman,Ogden,Male,2021-06-13,63,true
Washington Zoo,Anastomus oscitans,"Openbill, asian",Maribelle,Female,2023-09-07,53,true
Vancouver Zoo,Ciconia ciconia,White stork,Jacquenette,Female,2023-04-13,63,true
Washington Zoo,Ratufa indica,Indian giant squirrel,Raye,Female,2022-04-14,41,false
Vancouver Zoo,Bos taurus,Scottish highland cow,Irita,Female,2021-09-27,38,false
Toronto Zoo,Caiman crocodilus,"Caiman, spectacled",Rae,Female,2024-01-18,61,true
Edmonton Zoo,Bradypus tridactylus,Pale-throated three-toed sloth,Reeba,Female,2023-09-19,77,true
Washington Zoo,Naja haje,Egyptian viper,Carolyne,Female,2023-09-07,77,true
Toronto Zoo,unavailable,Paddy heron (unidentified),Reba,Female,2023-04-16,40,true
Vancouver Zoo,Pavo cristatus,"Peacock, indian",Eustace,Male,2022-03-12,44,false
Washington Zoo,Phylurus milli,Barking gecko,Humfried,Male,2022-05-11,48,false
Vancouver Zoo,Papio cynocephalus,"Baboon, yellow",Nikita,Male,2021-01-07,58,true
Edmonton Zoo,Geochelone elephantopus,Galapagos tortoise,Eric,Male,2024-03-22,63,false
Toronto Zoo,Sylvicapra grimma,Gray duiker,Truda,Female,2024-04-02,38,false
Washington Zoo,Orcinus orca,Orca,Izabel,Female,2021-02-15,65,false
Washington Zoo,Spizaetus coronatus,Crowned eagle,Walden,Male,2022-09-03,42,true
Vancouver Zoo,Lasiodora parahybana,Tarantula,Casie,Female,2020-12-29,66,true
Vancouver Zoo,Uraeginthus angolensis,Blue-breasted cordon bleu,Claudie,Female,2021-07-15,56,true
Toronto Zoo,Tayassu pecari,White-lipped peccary,Ulises,Male,2021-03-29,33,false
Washington Zoo,Otocyon megalotis,Bat-eared fox,Lissy,Female,2023-12-06,47,false
Edmonton Zoo,Bettongia penicillata,Woylie,Abner,Male,2022-01-25,42,true
Vancouver Zoo,Hystrix cristata,"Porcupine, crested",Artair,Male,2021-12-03,58,false
Edmonton Zoo,Heloderma horridum,"Monster, gila",Reinold,Male,2021-02-22,56,true
Washington Zoo,Felis yagouaroundi,Jaguarundi,Joe,Male,2021-03-29,74,false
Washington Zoo,Castor canadensis,North American beaver,Daisie,Female,2021-06-14,52,true
Vancouver Zoo,Varanus sp.,"Legaan, Monitor (unidentified)",Chip,Male,2021-03-27,33,false
Washington Zoo,Martes pennanti,Fisher,Tyson,Male,2024-04-05,75,true
Vancouver Zoo,Columba livia,"Dove, rock",Lyssa,Female,2021-12-29,71,false
Washington Zoo,Herpestes javanicus,Javan gold-spotted mongoose,Clarke,Male,2021-08-14,20,false
Edmonton Zoo,Zonotrichia capensis,"Sparrow, rufous-collared",Rodger,Male,2022-04-18,27,false
Washington Zoo,Recurvirostra avosetta,"Avocet, pied",Arabella,Female,2021-12-08,75,false
Edmonton Zoo,Bucorvus leadbeateri,Southern ground hornbill,Shela,Female,2021-02-11,54,true
Edmonton Zoo,Lemur catta,Ring-tailed lemur,Dav,Male,2022-10-04,42,false
Edmonton Zoo,Rangifer tarandus,Reindeer,Miquela,Female,2021-10-31,28,true
Edmonton Zoo,Macropus rufogriseus,Bennett's wallaby,Zebedee,Male,2023-04-06,25,true
Edmonton Zoo,Amblyrhynchus cristatus,"Iguana, marine",Starlene,Female,2021-01-28,67,false
Toronto Zoo,Felis caracal,"Lynx, african",Vita,Female,2022-05-30,59,true
Washington Zoo,Mycteria leucocephala,Painted stork,Lisha,Female,2022-12-30,80,true
Edmonton Zoo,Megaderma spasma,Asian false vampire bat,Melania,Female,2023-01-08,38,true
Toronto Zoo,Hymenolaimus malacorhynchus,"Duck, blue",Jorge,Male,2022-06-20,79,false
Vancouver Zoo,Meles meles,"Badger, eurasian",Allin,Male,2021-07-23,20,true
Vancouver Zoo,Canis aureus,"Jackal, golden",Granthem,Male,2021-07-05,69,true
Washington Zoo,Larus dominicanus,"Gull, southern black-backed",Ric,Male,2023-08-30,51,false
Vancouver Zoo,Coendou prehensilis,"Porcupine, tree",Katrine,Female,2022-06-28,18,false
Toronto Zoo,Cyrtodactylus louisiadensis,Bent-toed gecko,Aloise,Female,2022-10-29,26,true
Edmonton Zoo,Butorides striatus,Little heron,Peg,Female,2022-09-07,26,true
Washington Zoo,Spermophilus richardsonii,"Squirrel, richardson's ground",Linnea,Female,2022-08-23,48,false
Edmonton Zoo,Varanus sp.,"Legaan, ground",Bord,Male,2023-10-13,79,false
Washington Zoo,Spermophilus armatus,"Squirrel, uinta ground",Neile,Female,2023-06-10,44,false
Edmonton Zoo,Hyaena hyaena,Striped hyena,Tiffie,Female,2021-04-06,40,false
Toronto Zoo,Phascogale calura,Red-tailed phascogale,Elizabeth,Female,2021-11-14,44,true
Washington Zoo,Macropus eugenii,"Wallaby, tammar",Rinaldo,Male,2023-04-02,73,true
Washington Zoo,Antidorcas marsupialis,Springbuck,Shela,Female,2020-12-06,60,true
Washington Zoo,Crotaphytus collaris,"Lizard, collared",Richmond,Male,2023-03-21,58,true
Toronto Zoo,Numida meleagris,"Fowl, helmeted guinea",Val,Male,2023-10-09,23,true
Toronto Zoo,Ara macao,"Macaw, scarlet",Jammal,Male,2023-09-18,38,true
Vancouver Zoo,Epicrates cenchria maurus,"Boa, columbian rainbow",Alana,Female,2023-10-20,55,false
Edmonton Zoo,Varanus salvator,"Monitor, two-banded",Rebeka,Female,2022-06-18,60,false
Vancouver Zoo,Dasyurus maculatus,"Quoll, spotted-tailed",Bel,Female,2022-04-07,19,true
Toronto Zoo,Panthera leo,"Lion, african",Byrle,Male,2023-10-11,21,true
Washington Zoo,unavailable,Bird (unidentified),Hank,Male,2023-09-06,32,false
Edmonton Zoo,unavailable,Old world fruit bat (unidentified),Jo-ann,Female,2022-09-16,20,true
Toronto Zoo,Caiman crocodilus,"Caiman, spectacled",Freeland,Male,2023-11-22,40,false
Edmonton Zoo,unavailable,Mudskipper (unidentified),Elora,Female,2022-04-19,19,false
Toronto Zoo,Sarkidornis melanotos,"Goose, knob-nosed",Eadie,Female,2023-10-30,62,false
Edmonton Zoo,Chordeiles minor,Common nighthawk,Roselin,Female,2021-12-30,63,false
Vancouver Zoo,Laniaurius atrococcineus,"Gonolek, burchell's",Fleur,Female,2022-02-07,43,true
